 - - [26/Aug/2025:08:30:01 +0000] "GET /api/.env HTTP/1.0" 400 143 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
 - - [26/Aug/2025:09:13:00 +0000] "GET /api/v1/pods HTTP/1.0" 400 143 "-" "python-urllib3/2.3.0"
 - - [26/Aug/2025:09:13:44 +0000] "GET /api/sonicos/auth HTTP/1.0" 400 143 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
 - - [26/Aug/2025:09:13:44 +0000] "GET /api/sonicos/tfa HTTP/1.0" 400 143 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36"
 - - [26/Aug/2025:13:47:56 +0000] "GET /api/.git/config HTTP/1.0" 400 143 "-" "l9explore/1.2.2"
 - - [26/Aug/2025:13:47:59 +0000] "GET /api/.env HTTP/1.0" 400 143 "-" "l9explore/1.2.2"
 - - [27/Aug/2025:10:46:06 +0000] "GET /api/.env HTTP/1.0" 400 143 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
 - - [27/Aug/2025:12:37:55 +0000] "GET /api/.env HTTP/1.0" 400 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
 - - [27/Aug/2025:19:52:35 +0000] "GET /api/.env HTTP/1.0" 400 143 "-" "Mozilla/5.0 (X11; Linux x86_64)"
 - - [27/Aug/2025:19:52:35 +0000] "GET /api/.env HTTP/1.0" 404 179 "-" "Mozilla/5.0 (X11; Linux x86_64)"
 - - [28/Aug/2025:00:11:39 +0000] "GET /api/.git/config HTTP/1.0" 400 143 "-" "l9explore/1.2.2"
 - - [28/Aug/2025:00:11:48 +0000] "GET /api/.env HTTP/1.0" 400 143 "-" "l9explore/1.2.2"
 - - [28/Aug/2025:01:43:41 +0000] "GET /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 400 143 "-" "libredtail-http"
 - - [28/Aug/2025:04:37:09 +0000] "GET /api/v2/swagger.json HTTP/1.0" 400 143 "http://206.189.197.230/api/v2/swagger.json" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; USPortal; rv:11.0) like Gecko"
 - - [28/Aug/2025:04:37:09 +0000] "GET /api/v1/swagger.json HTTP/1.0" 400 143 "http://206.189.197.230/api/v1/swagger.json" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; USPortal; rv:11.0) like Gecko"
 - - [28/Aug/2025:04:37:09 +0000] "GET /api/swagger.yaml HTTP/1.0" 400 143 "http://206.189.197.230/api/swagger.yaml" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; USPortal; rv:11.0) like Gecko"
 - - [28/Aug/2025:04:37:09 +0000] "GET /api/swagger.json HTTP/1.0" 400 143 "http://206.189.197.230/api/swagger.json" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; USPortal; rv:11.0) like Gecko"
 - - [28/Aug/2025:04:37:09 +0000] "GET /api/documentation.json HTTP/1.0" 400 143 "http://206.189.197.230/api/documentation.json" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; USPortal; rv:11.0) like Gecko"
 - - [28/Aug/2025:04:37:09 +0000] "GET /api/config.js HTTP/1.0" 400 143 "http://206.189.197.230/api/config.js" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; USPortal; rv:11.0) like Gecko"
 - - [28/Aug/2025:04:37:09 +0000] "GET /api/swagger.yml HTTP/1.0" 400 143 "http://206.189.197.230/api/swagger.yml" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; USPortal; rv:11.0) like Gecko"
